Error,Nest,Max Features,Criterion,Max Depth,Min Leaf Samples
0.116666667,25,2,gini,5,10
0.13125,25,2,gini,5,20
0.120833333,25,2,gini,5,30
0.108333333,25,2,gini,10,10
0.129166667,25,2,gini,10,20
0.120833333,25,2,gini,10,30
0.114583333,25,2,gini,15,10
0.120833333,25,2,gini,15,20
0.127083333,25,2,gini,15,30
0.108333333,25,4,gini,5,10
0.122916667,25,4,gini,5,20
0.13125,25,4,gini,5,30
0.102083333,25,4,gini,10,10
0.120833333,25,4,gini,10,20
0.125,25,4,gini,10,30
0.114583333,25,4,gini,15,10
0.127083333,25,4,gini,15,20
0.129166667,25,4,gini,15,30
0.11875,25,6,gini,5,10
0.13125,25,6,gini,5,20
0.127083333,25,6,gini,5,30
0.11875,25,6,gini,10,10
0.11875,25,6,gini,10,20
0.127083333,25,6,gini,10,30
0.114583333,25,6,gini,15,10
0.110416667,25,6,gini,15,20
0.135416667,25,6,gini,15,30
0.125,50,2,gini,5,10
0.116666667,50,2,gini,5,20
0.125,50,2,gini,5,30
0.11875,50,2,gini,10,10
0.127083333,50,2,gini,10,20
0.120833333,50,2,gini,10,30
0.114583333,50,2,gini,15,10
0.125,50,2,gini,15,20
0.122916667,50,2,gini,15,30
0.11875,50,4,gini,5,10
0.13125,50,4,gini,5,20
0.13125,50,4,gini,5,30
0.110416667,50,4,gini,10,10
0.11875,50,4,gini,10,20
0.129166667,50,4,gini,10,30
0.1,50,4,gini,15,10
0.122916667,50,4,gini,15,20
0.129166667,50,4,gini,15,30
0.1125,50,6,gini,5,10
0.125,50,6,gini,5,20
0.120833333,50,6,gini,5,30
0.110416667,50,6,gini,10,10
0.120833333,50,6,gini,10,20
0.127083333,50,6,gini,10,30
0.1,50,6,gini,15,10
0.122916667,50,6,gini,15,20
0.129166667,50,6,gini,15,30
0.129166667,100,2,gini,5,10
0.11875,100,2,gini,5,20
0.11875,100,2,gini,5,30
0.116666667,100,2,gini,10,10
0.125,100,2,gini,10,20
0.122916667,100,2,gini,10,30
0.114583333,100,2,gini,15,10
0.13125,100,2,gini,15,20
0.120833333,100,2,gini,15,30
0.120833333,100,4,gini,5,10
0.122916667,100,4,gini,5,20
0.129166667,100,4,gini,5,30
0.108333333,100,4,gini,10,10
0.122916667,100,4,gini,10,20
0.133333333,100,4,gini,10,30
0.108333333,100,4,gini,15,10
0.125,100,4,gini,15,20
0.127083333,100,4,gini,15,30
0.1125,100,6,gini,5,10
0.122916667,100,6,gini,5,20
0.122916667,100,6,gini,5,30
0.102083333,100,6,gini,10,10
0.122916667,100,6,gini,10,20
0.127083333,100,6,gini,10,30
0.104166667,100,6,gini,15,10
0.127083333,100,6,gini,15,20
0.127083333,100,6,gini,15,30