Error,Max Depth,Learning Rate
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.135416667,1,0.01
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.125,1,0.1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.120833333,1,1
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.133333333,2,0.01
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.116666667,2,0.1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.1,2,1
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.120833333,3,0.01
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.108333333,3,0.1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.085416667,3,1
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.10625,4,0.01
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.102083333,4,0.1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.095833333,4,1
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.1,5,0.01
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.0875,5,0.1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.083333333,5,1
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.104166667,6,0.01
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.091666667,6,0.1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,6,1
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.097916667,7,0.01
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.089583333,7,0.1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.091666667,7,1
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.102083333,8,0.01
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.09375,8,0.1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.097916667,8,1
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.102083333,9,0.01
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.0875,9,0.1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.089583333,9,1
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.10625,10,0.01
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.09375,10,0.1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.095833333,10,1
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.10625,11,0.01
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.091666667,11,0.1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.095833333,11,1
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.10625,12,0.01
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.085416667,12,0.1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.0875,12,1
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.10625,13,0.01
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.08125,13,0.1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.0875,13,1
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.10625,14,0.01
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.08125,14,0.1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.0875,14,1
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.10625,15,0.01
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.08125,15,0.1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.0875,15,1
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.10625,16,0.01
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.08125,16,0.1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.0875,16,1
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.10625,17,0.01
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.08125,17,0.1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.0875,17,1
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.10625,18,0.01
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.08125,18,0.1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.0875,18,1
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.10625,19,0.01
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.08125,19,0.1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1
0.0875,19,1